Publisher,Vendor,Also Tag,
Microcosm Publishing,Ingram,keepingram,
Mimesis,Ingram-PI,,
Minneapolis Institute of Arts,Ingram,keepingram,
Minotaur Books,Macmillan,,
Mira Books,HarperCollins,,
MIT Press,Penguin Random House,,
Mitchell Beazley,IPG,,
Mobius,Hachette,,
Modern Library,Penguin Random House,,
Monacelli Press,,,
Monoray,Hachette,,
Monsoon Books,Ingram,keepingram,
Montlake,Ingram,keepingram,
Moody Publishers,Ingram,keepingram,
Moon Books,Ingram,keepingram,
Morrow Gift,HarperCollins,,
MTV Books,Simon & Schuster,,
Mulholland Books,Hachette,,
Museum of New Mexico Press,Ingram,keepingram,
Nancy Paulsen Books,Penguin Random House,,
Nantier Beall Minoustchine Publishing,IPG,,
National Geographic Society,Penguin Random House,,
NavPress Publishing Group,Ingram,keepingram,
New Directions Publishing Corporation,Norton,,
New Harbinger Publications,Ingram,keepingram,
New Harvest,HarperCollins,,
New Page Books,Ingram,keepingram,
New York Review Comics,Penguin Random House,,
New York Review of Books/NYRB,Penguin Random House,,
Nicholas Brealey Publishing,Hachette,,
Night Shade Books,Simon & Schuster,,
Nine Eight Books,IPG,,
No Starch Press,Penguin Random House,,
Nobrow,Penguin Random House,,
Northern Light Press,Ingram,keepingram,
Norton,Norton,,
Nosetouch Press,Ingram-PI,keepingram,
Notting Hill Editions,Penguin Random House,,
NYRB,Penguin Random House,,
Nyrb Kids,Penguin Random House,,
NYQ Books,Ingram,keepingram,
Odd Dot,Macmillan,,
Oddness,Ingram,keepingram,
Ode Books,Ingram,keepingram,
Off Limits Press LLC,Ingram,keepingram,
Ohio University Press,Ingram,keepingram,
Old Farmer's Almanac,HarperCollins,,
Omnidawn,Ingram,keepingram,
Omnibus Press,IPS,keepips,
One More Chapter,HarperCollins,,
One Peace Books,SCB,,
One World,Simon & Schuster,,
Oni Press,Simon & Schuster,,
Open Road Integrated Media LLC,IPG,,
Open Road Media,IPG,,
Open Road Media Science & Fantasy,IPG,,
Opus Comics,Diamond,,
Opus Comics (Incendium),Diamond,,
Orb Books,Macmillan,,
Orbis Books,Ingram,keepingram,
Orbit,Hachette,,
Orchid's Lantern,Ingram,keepingram,
Orion Publishing Group,Ingram,keepingram,
Other Press (NY),Penguin Random House,,
Our Daily Bread Publishing,Ingram,keepingram,
Outland Entertainment,IPG,,
Outreach/New Reader,Penguin Random House,,
Overlook Press,Abrams,,
"Oxford University Press, USA",Ingram,keepingram,
Page Street,Macmillan,,
Page Two,Macmillan,,
Paginas de Espuma,Ingram,keepingram,
Painted Blind Publishing,Ingram,keepingram,
Palazzo Editions,IPS,keepips,
Pamela Dorman Books,Penguin Random House,,
Pan MacMillan,Macmillan,,
Pantera Press,IPG,,
Pantheon Books,Penguin Random House,,
Papercutz,Simon & Schuster,,
Parallax Press,Penguin Random House,,
Paragon Books,SCB,,
Park Row,HarperCollins,,
Park Street Press,Simon & Schuster,,
Pavilion Books,HarperCollins,,
Peachtree Teen,Penguin Random House,,
Pegasus Books,Simon & Schuster,,
Pegasus Crime,Simon & Schuster,,
Pen and Sword History,Ingram,keepingram,
Penguin,Penguin Random House,,
Penguin Books,Penguin Random House,,
Penguin Group,Penguin Random House,,
Penguin Life,Penguin Random House,,
Penguin Press,Penguin Random House,,
Penguin Publishing Group,Penguin Random House,,
Peninsula Publishing,Ingram,keepingram,
Pequod Publishing,Ingram,keepingram,
Perfect Edge,Ingram,keepingram,
Perigee Books,Penguin Random House,,
Permuted Press,Simon & Schuster,,
Perpetual Motion Machine Publishing,Ingram,keepingram,
Persea Books,Norton,,
Phaidon Press,Hachette,,
Phillip Mottaz,Ingram,keepingram,
Philip Wilson Publishers,Macmillan,,
Philomel Books,Penguin Random House,,
Picador Paper,Macmillan,,
Picador USA,Macmillan,,
Piggyback Interactive,Simon & Schuster,,
Pilgrim Press,Ingram,keepingram,
Pitch Publishing,IPG,,
Planet Bizarro,Ingram,keepingram,
Planeta Publishing,IPS,keepips,
"Plaza & Janes Editores, S.A.",Penguin Random House,,
Plume Books,Penguin Random House,,
Pocket Books,Simon & Schuster,,
Pocket Star,Simon & Schuster,,
Poisoned Pen Press,Ingram,keepingram,
Polity Press,Ingram,keepingram,
Polymath Press,Ingram,keepingram,
Pomegranate Communications,Ingram,keepingram,
Portfolio,Penguin Random House,,
Post Hill Press,Simon & Schuster,,
Potter Style,Penguin Random House,,
powerHouse Books,Penguin Random House,,
Prestel Publishing,Penguin Random House,,
Priddy Books,Macmillan,,
Princeton Architectural Press,Chronicle,,
Princeton University Press,IPS,keepips,
Prometheus Books,National Book Network,,
PublicAffairs,Hachette,,
Puffin Books,Penguin Random House,,
Pushkin Collection,Penguin Random House,,
